Polymorphic Gate Combination,HVDD Gate,HVDD Function,LVDD Gate,LVDD Function
TH12_TH22,TH12,A | B,TH22,A & B
TH13_TH23,TH13,A | B | C,TH23,(A & B) | (A & C) | (B & C)
TH13_TH33,TH13,A | B | C,TH33,A & B & C
TH13_TH23w2,TH13,A | B | C,TH23w2,A | (B & C)
TH13_TH33w2,TH13,A | B | C,TH33w2,(A & B) | (A & C)
TH23_TH33,TH23,(A & B) | (A & C) | (B & C),TH33,A & B & C
TH23_TH33w2,TH23,(A & B) | (A & C) | (B & C),TH33w2,(A & B) | (A & C)
TH23w2_TH23,TH23w2,A | (B & C),TH23,(A & B) | (A & C) | (B & C)
TH23w2_TH33,TH23w2,A | (B & C),TH33,A & B & C
TH23w2_TH33w2,TH23w2,A | (B & C),TH33w2,(A & B) | (A & C)
TH33w2_TH33,TH33w2,(A & B) | (A & C),TH33,A & B & C
TH14_TH24,TH14,A | B | C | D,TH24,(A & B) | (A & C) | (A & D) | (B & C) | (B & D) | (C & D)
TH14_TH34,TH14,A | B | C | D,TH34,(A & B & C) | (A & B & D) | (A & C & D) | (B & C & D)
TH14_TH44,TH14,A | B | C | D,TH44,A & B & C & D
TH14_TH24w2,TH14,A | B | C | D,TH24w2,A | (B & C) | (B & D) | (C & D)
TH14_TH34w2,TH14,A | B | C | D,TH34w2,(A & B) | (A & C) | (A & D) | (B & C & D)
TH14_TH44w2,TH14,A | B | C | D,TH44w2,(A & B & C) | (A & B & D) | (A & C & D)
TH14_TH34w3,TH14,A | B | C | D,TH34w3,A | (B & C & D)
TH14_TH44w3,TH14,A | B | C | D,TH44w3,(A & B) | (A & C) | (A & D)
TH14_TH24w22,TH14,A | B | C | D,TH24w22,A | B | (C & D)
TH14_TH34w22,TH14,A | B | C | D,TH34w22,(A & B) | (A & C) | (A & D) | (B & C) | (B & D)
TH14_TH44w22,TH14,A | B | C | D,TH44w22,(A & B & C) | (A & B & D) | (A & C & D) | (B & C)
TH14_TH54w22,TH14,A | B | C | D,TH54w22,A & B & C | A & B & D
TH14_TH34w32,TH14,A | B | C | D,TH34w32,A | B | (C & D)
TH14_TH54w32,TH14,A | B | C | D,TH54w32,A & B | A & C & D | B & C & D
TH14_TH44w322,TH14,A | B | C | D,TH44w322,A & B | A & C | A & D | B & C
TH14_TH54w322,TH14,A | B | C | D,TH54w322,A & B & C | A & B & D | C & D
TH14_THxor0,TH14,A | B | C | D,THxor0,A & B | C & D
TH14_THand0,TH14,A | B | C | D,THand0,A & B | B & C | A & D
TH14_TH24comp,TH14,A | B | C | D,TH24comp,A & C | B & C | A & D | B & D
TH24_TH34,TH24,(A & B) | (A & C) | (A & D) | (B & C) | (B & D) | (C & D),TH34,(A & B & C) | (A & B & D) | (A & C & D) | (B & C & D)
TH24_TH44,TH24,(A & B) | (A & C) | (A & D) | (B & C) | (B & D) | (C & D),TH44,A & B & C & D
TH24_TH34w2,TH24,(A & B) | (A & C) | (A & D) | (B & C) | (B & D) | (C & D),TH34w2,(A & B) | (A & C) | (A & D) | (B & C & D)
